"DESTINATION","COMMERCIAL.FLAG","CITY","REGION","COUNTRY","FLIGH.DIRECTION","FLIGHT.TYPE","DATE","DATE.YEAR","DATE.HALF.YEAR","DATE.YEAR.QUARTER","DATE.YEAR.MONTH","NBR.OF.PASSENGERS","CARGO.WEIGHT","NBR.OF.FLIGHTS","SEAT.CAPACITY"
"s","Commercial","Aalborg","","Denmark","Incoming","Non Scheduled",2010-11-01,2010,"2010H2","2010Q4","201011",0,0,1,0
"Aalborg","Commercial","Aalborg","","Denmark","Outgoing","Non Scheduled",2010-12-01,2010,"2010H2","2010Q4","201012",0,0,1,0
"Aalborg","Commercial","Aalborg","","Denmark","Incoming","Non Scheduled",2011-01-01,2011,"2011H1","2011Q1","201101",0,0,1,0
"Aarhus","Commercial","Aarhus","","Denmark","Incoming","Non Scheduled",2007-05-01,2007,"2007H1","2007Q2","200705",102,0,1,200
"Aberdeen","Commercial","Aberdeen","","United Kingdom","Incoming","Non Scheduled",2010-07-01,2010,"2010H2","2010Q3","201007",0,0,1,0
"Aberdeen","Commercial","Aberdeen","","United Kingdom","Outgoing","Non Scheduled",2011-07-01,2011,"2011H2","2011Q3","201107",0,0,1,0
"Abu Dhabi","Commercial","Abu Dhabi","","United Arab Emirates","Incoming","Non Scheduled",2009-02-01,2009,"2009H1","2009Q1","200902",0,0,1,221
"Abu Dhabi","Commercial","Abu Dhabi","","United Arab Emirates","Incoming","Scheduled",2009-10-01,2009,"2009H2","2009Q4","200910",0,124929,2,0
"Abu Dhabi","Commercial","Abu Dhabi","","United Arab Emirates","Outgoing","Non Scheduled",2010-04-01,2010,"2010H1","2010Q2","201004",0,0,1,0
"Abu Dhabi","Commercial","Abu Dhabi","","United Arab Emirates","Outgoing","Non Scheduled",2010-05-01,2010,"2010H1","2010Q2","201005",0,0,1,0
"Abu Dhabi","Commercial","Abu Dhabi","","United Arab Emirates","Incoming","Non Scheduled",2012-06-01,2012,"2012H1","2012Q2","201206",0,0,1,190
"Abu Dhabi/Al Dhafra","Commercial","Abu Dhabi","","United Arab Emirates","Outgoing","Non Scheduled",2008-05-01,2008,"2008H1","2008Q2","200805",0,0,1,0
"Abu Dhabi/Al Dhafra","Commercial","Abu Dhabi","","United Arab Emirates","Incoming","Non Scheduled",2008-05-01,2008,"2008H1","2008Q2","200805",0,0,1,0
"Abu Dhabi/Al Dhafra","Commercial","Abu Dhabi","","United Arab Emirates","Incoming","Non Scheduled",2008-09-01,2008,"2008H2","2008Q3","200809",0,0,1,0
"Adana","Commercial","Adana","","Turkey","Incoming","Non Scheduled",2008-08-01,2008,"2008H2","2008Q3","200808",0,0,1,0
"Adana","Commercial","Adana","","Turkey","Outgoing","Non Scheduled",2008-08-01,2008,"2008H2","2008Q3","200808",0,0,1,0
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2007-01-01,2007,"2007H1","2007Q1","200701",376,0,3,540
"Agadir","Commercial","Agadir","","Morocco","Incoming","Scheduled",2007-01-01,2007,"2007H1","2007Q1","200701",124,0,1,180
